Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
16:42:45 Jan 08 2024,99,87,3,0,0
16:42:49 Jan 08 2024,99,87,1,0,0
16:42:53 Jan 08 2024,99,87,1,0,0
16:42:57 Jan 08 2024,99,87,0,0,0
16:43:01 Jan 08 2024,99,87,0,0,0
16:43:05 Jan 08 2024,99,85,0,0,0
16:43:09 Jan 08 2024,99,83,0,0,0
16:43:13 Jan 08 2024,99,84,1,0,0
16:43:17 Jan 08 2024,99,84,0,0,0
16:43:21 Jan 08 2024,99,84,0,0,0
16:43:25 Jan 08 2024,99,84,2,0,0
16:43:29 Jan 08 2024,99,84,3,0,0
16:43:33 Jan 08 2024,99,84,3,0,0
16:43:37 Jan 08 2024,99,84,2,0,0
16:43:41 Jan 08 2024,99,84,3,0,0
16:43:45 Jan 08 2024,99,84,5,0,0
16:43:49 Jan 08 2024,99,84,8,0,0
16:43:53 Jan 08 2024,99,84,2,0,0
16:43:57 Jan 08 2024,99,84,2,0,0
16:44:01 Jan 08 2024,99,84,0,0,0
16:44:05 Jan 08 2024,99,84,0,0,0
16:44:09 Jan 08 2024,99,84,0,0,0
16:44:13 Jan 08 2024,99,85,3,0,0
16:44:17 Jan 08 2024,99,85,0,0,0
16:44:21 Jan 08 2024,99,85,2,0,0
16:44:25 Jan 08 2024,99,85,1,0,0
16:44:29 Jan 08 2024,99,76,0,0,0
16:44:33 Jan 08 2024,99,76,0,0,0
16:44:37 Jan 08 2024,99,76,0,0,0
16:44:41 Jan 08 2024,99,80,0,0,0
16:44:45 Jan 08 2024,99,79,0,0,0
16:44:49 Jan 08 2024,99,78,0,0,0
16:44:53 Jan 08 2024,99,75,0,0,0
16:44:57 Jan 08 2024,99,75,1,0,0
16:45:01 Jan 08 2024,99,75,1,0,0
16:45:05 Jan 08 2024,99,75,6,0,0
16:45:09 Jan 08 2024,99,75,6,0,0
16:45:13 Jan 08 2024,99,75,3,0,0
16:45:17 Jan 08 2024,99,75,2,0,0
16:45:21 Jan 08 2024,99,75,3,0,0
16:45:25 Jan 08 2024,99,75,0,0,0
16:45:29 Jan 08 2024,99,77,0,0,0
16:45:33 Jan 08 2024,99,77,0,0,0
16:45:37 Jan 08 2024,99,80,0,0,0
16:45:41 Jan 08 2024,99,87,0,0,0
16:45:45 Jan 08 2024,99,87,0,0,0
